trimmed_seq_name	complete_seq_name
A/Lao/1424/2021	A/Laos/1424/2021|EPI_ISL_5984059|2021-04-12
A/Lao/F0971/2021	A/Laos/F0971/2021|EPI_ISL_4221800|2021-03-18
A/Lao/1125/2021	A/Laos/1125/2021|EPI_ISL_5984020|2021-03-23
A/Lao/504/2021	A/Laos/504/2021|EPI_ISL_2245463|2021-02-16
A/Lao/766/2021	A/Laos/766/2021|EPI_ISL_2245460|2021-03-02
A/Lao/694/2021	A/Laos/694/2021|EPI_ISL_2245467|2021-02-24
A/Lao/1072/2021	A/Laos/1072/2021|EPI_ISL_5327627|2021-03-24
A/Lao/469/2021	A/Laos/469/2021|EPI_ISL_2245464|2021-02-08
A/Lao/799/2021	A/Laos/799/2021|EPI_ISL_2245459|2021-03-01
A/Lao/1293/2021	A/Laos/1293/2021|EPI_ISL_5327619|2021-04-01
A/Lao/F1384/2021	A/Laos/F1384/2021|EPI_ISL_4221817|2021-04-08
A/Lao/F1343/2021	A/Laos/F1343/2021|EPI_ISL_4221815|2021-04-05
A/Lao/1039/2021	A/Laos/1039/2021|EPI_ISL_5327623|2021-03-22
A/Lao/F1040/2021	A/Laos/F1040/2021|EPI_ISL_4221804|2021-03-22
A/Lao/F1221/2021	A/Laos/F1221/2021|EPI_ISL_4221811|2021-03-29
A/Lao/F0826/2021	A/Laos/F0826/2021|EPI_ISL_4221797|2021-03-09
A/Lao/F0879/2021	A/Laos/F0879/2021|EPI_ISL_4221798|2021-03-09
A/Lao/F0993/2021	A/Laos/F0993/2021|EPI_ISL_4221802|2021-03-15
A/Lao/924/2021	A/Laos/924/2021|EPI_ISL_5327628|2021-03-10
A/Lao/F1071/2021	A/Laos/F1071/2021|EPI_ISL_4221806|2021-03-23
A/Lao/F1917/2021	A/Laos/F1917/2021|EPI_ISL_11303037|2021-08-04
A/Lao/1360/2021	A/Laos/1360/2021|EPI_ISL_5327625|2021-04-05
A/Lao/527/2021	A/Laos/527/2021|EPI_ISL_2245462|2021-02-16
A/Lao/785/2021	A/Laos/785/2021|EPI_ISL_2245466|2021-03-01
A/Lao/1421/2021	A/Laos/1421/2021|EPI_ISL_5984046|2021-04-12
A/Lao/580/2021	A/Laos/580/2021|EPI_ISL_2245465|2021-02-21
A/Yamagata/1/2021	A/Yamagata/1/2021|EPI_ISL_4080559|2021-02-09
A/Yamagata/2/2021	A/Yamagata/1/2021|EPI_ISL_4080559|2021-02-09
A/HongKong/4/2022	A/Hong_Kong/4/2022|EPI_ISL_14863109|2022-06-13
A/Guangxi-Jinchengjiang/1267/2022	A/Guangxi-Jinchengjiang/1267/2022|EPI_ISL_14818913|2022-04-19
A/Guangxi-Fangcheng/11111/2021	A/Guangxi-Fangcheng/11111/2021|EPI_ISL_14033216|2021-09-23
A/Beijing-Huairou/11215/2022	A/Beijing-Huairou/11215/2022|EPI_ISL_16093968|2022-09-22
A/Chongqing-Qianjiang/11951/2022	A/Chongqing-Qianjiang/11951/2022|EPI_ISL_14818836|2022-07-20
A/Shanghai-Chongming/1615/2022	A/Shanghai-Chongming/1615/2022|EPI_ISL_14818848|2022-08-10
A/Shanghai-Fengxian/1569/2022	A/Shanghai-Fengxian/1569/2022|EPI_ISL_14818846|2022-08-02
A/Guangxi-Fangcheng/11343/2021	A/Guangxi-Fangcheng/11343/2021|EPI_ISL_13497569|2021-12-15
